Date,ABEV,AC,AMXB,AXIA3,BAP,BBAS3,BBD,BIMBOA,BSAC,CEMEXCPO,CENCOSUD,CIB,FALABELLA,FEMSAUBD,GCARSOA1,GFNORTEO,GGB,GMEXICOB,ISA,ITSA4,ITUB,PAC,PBR,PBR-A,RENT3,SBSP3,SCCO,SQM,VALE,VIV,WALMEX,WEGE3,Median,label_ABEV,label_AC,label_AMXB,label_AXIA3,label_BAP,label_BBAS3,label_BBD,label_BIMBOA,label_BSAC,label_CEMEXCPO,label_CENCOSUD,label_CIB,label_FALABELLA,label_FEMSAUBD,label_GCARSOA1,label_GFNORTEO,label_GGB,label_GMEXICOB,label_ISA,label_ITSA4,label_ITUB,label_PAC,label_PBR,label_PBR-A,label_RENT3,label_SBSP3,label_SCCO,label_SQM,label_VALE,label_VIV,label_WALMEX,label_WEGE3
2006-02-28,-0.009158643875144978,0.0,-0.008219179489585504,0.0,-0.008940458109818361,0.0,-0.007185701908956177,-0.01591086251083329,-0.018598940670565,-0.017411006262873507,-0.0032395042616196745,-0.005456074232459085,0.018456687469391664,-0.0016568397819048952,0.0,-0.0007805412606296525,-0.002187117690449325,-0.029645389695775237,0.005085104664474649,0.0,-0.007291523648480958,-0.005180980642784716,-0.011852666624749486,-0.013447030450852382,0.0,0.0,0.014908699628732425,-0.0020417555187388636,-0.0227316010849149,0.00427196928203144,-0.005638719043538187,0.0,-0.0027133109760344998,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
2006-03-01,0.026610041579416155,0.0,0.029281773011355927,0.02009276948633576,0.0013365625325907349,0.02950861418140094,0.038592225755654797,0.025599282231023812,0.010739104016939782,0.012634728254769856,0.007556425764432717,0.013410757479253022,-0.0016476701343614009,0.013610662729389267,0.0,0.02303801040536335,0.04822468043753969,0.059239858963335834,0.013490467396462202,0.018418336217914666,0.023875630477733445,0.03819453389735905,0.053232801809419916,0.06664982296241484,0.03856713389754973,0.033982934359757966,0.013810251736695367,-0.010228932476494812,0.03381428501225714,0.0233939873896587,0.00833865574138204,0.0,0.021565389945849556,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
2006-03-02,0.011186902210795546,0.0,-0.0010737890958448792,-0.025974147941103642,-0.019686560017912247,-0.011393485097383693,0.0017021912163106556,0.0010508670425251054,-0.002083354987934549,-0.006238451295003444,-0.0016127392832823162,0.028871791195402396,0.010825252410986197,0.0042575640853435015,0.0,-0.0038164422702934298,0.040150363883218354,0.02778723866128696,-0.009982929654040684,0.01595777809856669,-0.0029894401275655236,0.013377580620746787,0.005748170703798294,0.004689203201617476,-0.006896549708895305,0.0015493183281563017,0.039256679064956,0.0,-0.0008335498865650326,0.014962499076413449,0.010255034908412952,0.0,0.0005254335212625527,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0
2006-03-03,0.010523296347005218,0.0,-0.0005368419771132338,-0.006666488182206942,-0.023144874862182974,0.008643493142299619,-0.00931048398897738,-0.010498440996969616,-0.004384069635282817,0.008727736676631626,0.025848121078547726,-0.006723104156590276,0.012145629320415852,-0.002935033606841997,0.0,-0.0015328949067580089,0.004021132712243691,0.02977422218176029,-0.021849014214335605,-0.0052364117905192575,-0.004498582726410683,-0.02145247548027318,0.0010791307288358087,0.0031508485257114582,0.010950708131276743,-0.007413662247712893,0.018470124742826943,-0.005291664052262224,-0.0012514263525188474,-0.011056377068711098,-0.0009824887710031538,0.0,-0.0011169575617610006,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
2006-03-06,-0.013350807687374733,0.0,0.021505038516041797,-0.03579412968470186,-0.008710807914196872,-0.01803301393088952,-0.042527919177137496,-0.02705567476391013,-0.02893705969784055,-0.008500375101566537,0.02086610183099946,-0.06415562488915916,-0.006580581102731742,-0.009703297258839227,0.0,-0.02686073851518378,-0.03964808486908755,-0.02293127733577871,-0.0378007223850797,-0.01473630190460351,-0.029102438074118164,-0.01854930100734553,-0.03533382507309324,-0.04082815936065398,0.03038332542641564,-0.006949817980957618,-0.043992161324640344,-0.014379236605926549,-0.027974626922268486,-0.009523946888508661,-0.017371267405906665,0.0,-0.017702140668398092,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1
2006-03-07,-0.028416680251374005,0.0,-0.053157743377732714,-0.025522264677176332,-0.048857641907625426,-0.016362912292894327,-0.0419645862755863,-0.039258620624453955,-0.01878626851487486,-0.029087666050820915,-0.016583161638744293,-0.025156761266891037,-0.01935310826610459,-0.025101945619261046,0.0,-0.03391194892858884,-0.04045007166570924,-0.03367346292475104,0.0,-0.025641177859828113,-0.0332707437355827,-0.0017181477829766312,-0.039084435226274694,-0.05020611850147416,0.0,-0.027340121972721065,-0.028515140666197203,-0.021757492308090542,-0.03908970257874256,-0.02842765057354668,-0.010673951125814374,0.0,-0.02649064991627459,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1
2006-03-08,-0.008635301829760023,0.0,-0.016120241811444003,-0.0011905278913002526,-0.009238618944971466,0.014787468217370758,-0.027150711782196302,0.00936442291853834,-0.023987823404695074,0.004257499324385128,0.006823294366512522,0.027418996572321497,-0.006622692487473381,0.0028230299364244704,0.0,-0.036326424008004676,-0.004346025587600555,-0.000352067877937734,0.03214285652135107,-0.0076751983833173165,-0.022077802114193634,-0.0034426354699661488,-0.005113318131887867,-0.005745507860226429,-0.01538490654580471,-0.0077325307726984205,-0.015369269495796645,-0.014655142590067394,-0.024586263622079718,0.023235782412174055,-0.01921794892947104,0.0,-0.005429412996057148,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1
2006-03-09,-0.010958122191480957,0.0,0.005084658832448463,-0.015494506851786993,0.024990799555456134,-0.01639401667185636,-0.032911915758765065,-0.0075904354656998185,-0.0058625489387618135,-0.0006281808488094454,-0.014333154472020437,-0.026059874807157657,0.006666844951448425,0.0096848802505618,0.0,0.0,-0.00829370749194458,-0.018662422567256254,0.006920452562460877,-0.038674148189027924,-0.023239439097795134,0.01727135930732082,-0.026748942826069988,-0.026711227980352414,-0.03645830095932878,0.0180257803513606,-0.0031984044444280935,-0.006999330475397247,-0.031163958979199657,-0.007569916221377926,-0.03025110729642988,0.0,-0.007580175843538872,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1
2006-03-10,0.023295628048175976,0.0,-0.00224854280794784,0.050363033374999144,0.0007276322634606203,0.0405554430472197,0.03702632418351226,0.004815580785523688,-0.0043090108728077725,0.003927686586149504,0.003714441907613386,0.03642836511597136,0.0033772434242882454,0.01494550304028075,0.0,-0.002118137268322995,0.006162317968757991,0.033010805942248034,0.013745443232357601,0.03563209581299476,0.03433036340891871,0.003395372867048163,0.015722416065688583,0.01965931688838296,0.0378378029675599,0.0005999996058190238,0.024900231941357376,0.005638828114463479,0.022942390637200605,0.012287947897041906,0.020560307953602752,0.0,0.013016695564699754,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
2006-03-13,-0.0033314582771774015,0.0,0.01971858262261561,-0.013370215704774258,-0.033818168366266055,0.021534297784674195,0.01050139959304297,0.008739900178300397,-0.0034170410313346666,0.012206617892348115,0.001574555105260611,0.007154058517200079,0.01313466368127858,-0.005934214955591988,0.0,0.021647117458444942,0.007436677583260387,0.0017366428877336748,-0.013559067835145933,0.009988447779269993,0.028590660294155246,0.03214894208764618,0.007798318673464033,0.010481845527548384,-0.03645830095932878,-0.006520250623745505,-0.0011270119085654562,0.005343950509648643,0.001618626354931152,-0.017161512777829735,0.01007272000724635,0.0,0.003540296698691159,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0
2006-03-14,0.018941423747860453,0.0,0.0193371062391412,0.06308429749658417,0.0030110450168054914,0.00853697553360111,0.023642566901369122,0.01034098840391584,0.018514508802635055,0.003092185551742732,-0.009040597663660277,0.020090838876073658,0.009315835445831144,-0.0025426548695460793,0.0,0.014956460179316844,0.026053050254329913,0.02184484937369713,-0.010309668476787603,0.03626417125048409,0.033226364693390575,0.006557453617862752,0.035877923468859096,0.042642571282700326,-0.013513160787240519,0.008303243473659405,0.02206648829956448,0.022222533857434446,0.0189285153893064,0.022572415373908195,0.007565677335863663,0.0,0.01673548449097595,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
