Date,ABEV,AC,AMXB,AXIA3,BAP,BBAS3,BBD,BIMBOA,BSAC,CEMEXCPO,CENCOSUD,CIB,FALABELLA,FEMSAUBD,GCARSOA1,GFNORTEO,GGB,GMEXICOB,ISA,ITSA4,ITUB,PAC,PBR,PBR-A,RENT3,SBSP3,SCCO,SQM,VALE,VIV,WALMEX,WEGE3
2006-02-28,-0.00915942066048736,0.0,-0.008219178785888626,0.0,-0.008940434850942314,0.0,-0.007183081205276998,-0.015910992161557447,-0.018598738436709894,-0.01741091773255332,-0.003239593933828111,-0.0054559068641967245,0.018456155957623954,-0.001657129026373494,0.0,-0.0007801556778865848,-0.0021870410215154568,-0.029645759258056015,0.005084689211916071,0.0,-0.00728936166814409,-0.005181493222078615,-0.011852725553161969,-0.0134468582202808,0.0,0.0,0.014907943276654345,-0.0020411068751985395,-0.022731842444226213,0.004271787052994025,-0.005638615510883849,0.0
2006-03-01,0.026611193690631918,0.0,0.02928185680955253,0.02009296111558556,0.0013364497785726126,0.029509201547807784,0.03859193971309427,0.02559986376473211,0.010739033415110733,0.012634911645846847,0.007556425080195828,0.013410419474912949,-0.0016475674465852297,0.01361066535973765,0.0,0.0230377717258321,0.04822460698469899,0.05923996127435838,0.013490630625478506,0.018417906403074946,0.023874389232457993,0.038194639451898604,0.05323262485521729,0.06664966085244184,0.038567242860432005,0.03398321994329345,0.013810534242557404,-0.010229333926408901,0.03381490505386475,0.0233939873896587,0.008339183156216956,0.0
2006-03-02,0.011186897459951606,0.0,-0.0010737889157272917,-0.025973876771567816,-0.019686580551805832,-0.011394283885885481,0.0017017377992243343,0.0010509286847935062,-0.0020832864625220937,-0.006238812370918945,-0.001612829009568717,0.028872225466260115,0.010825355437981132,0.0042578508892305855,0.0,-0.003816743784719523,0.040150369795284524,0.027787722757639743,-0.009983575825963764,0.015958218755948828,-0.0029898185881293005,0.013377834300071445,0.005748615024966375,0.004689547117028514,-0.006896647784043419,0.0015492270114620954,0.03925677385178927,0.0,-0.000833666581953052,0.014962499076413449,0.01025461287870355,0.0
2006-03-03,0.010523207931254275,0.0,-0.0005370937677392496,-0.006666580544810619,-0.023144759383409208,0.008644308814058865,-0.00931108072502429,-0.010498500760726892,-0.004384206085850106,0.008727920506991227,0.025848121078547726,-0.006722941524956227,0.012145730006124511,-0.0029350333282294194,0.0,-0.0015326680360400191,0.0040211332814925616,0.029774111770729972,-0.021848449912612478,-0.005235485981812782,-0.004497262446815142,-0.021451907617098476,0.001078302018499011,0.003150693118249892,0.010951298758299588,-0.007413570680060988,0.01847047578744343,-0.005291910001311573,-0.0012510756819549274,-0.011056551017784688,-0.0009823853946593353,0.0
2006-03-06,-0.013351385098665625,0.0,0.02150529233870957,-0.035794314789429627,-0.008710735171842399,-0.0180325272916243,-0.04252827948075699,-0.027055920837236624,-0.02893685321546402,-0.008500375101566537,0.02086610183099946,-0.06415561961926708,-0.006580982579609818,-0.009703581952910323,0.0,-0.026861041938926244,-0.03964724447551393,-0.02293106138598633,-0.03780063233381814,-0.014736886541961036,-0.029102106675235717,-0.01854954350999949,-0.03533382277507935,-0.04082857033542697,0.030382925566149632,-0.00695009142616021,-0.043992577009306144,-0.014378908721138894,-0.027975085246540576,-0.009524124457565342,-0.01737147256436078,0.0
2006-03-07,-0.02841668743337178,0.0,-0.053157981345228755,-0.025521876222023065,-0.04885769619812408,-0.016363636958966477,-0.041962992463866366,-0.039258305176435804,-0.018786406277166434,-0.029087666050820915,-0.01658333354822017,-0.02515711015274169,-0.019353010822010575,-0.025101758168101118,0.0,-0.03391149180381792,-0.04045070265377648,-0.03367346292475104,0.0,-0.025641177859828113,-0.03327078075184298,-0.001718487448879924,-0.039083563488730655,-0.050205832320459054,0.0,-0.02733975563957436,-0.028514962966755264,-0.021757991278776312,-0.039089526677913655,-0.02842757187760825,-0.010673636327831915,0.0
2006-03-08,-0.008634870524632743,0.0,-0.0161201563577259,-0.0011905275330804654,-0.009238734033847562,0.014787301778046436,-0.027151797562523505,0.009364354329026492,-0.023987893907426394,0.004257499324385128,0.0068238199844263825,0.02741936413301649,-0.006622589803911727,0.002823227164910458,0.0,-0.03632690226150548,-0.004346101758867182,-0.00035183379025294226,0.0321430221526986,-0.007675463285874318,-0.022077986660242188,-0.00344246578456342,-0.005113398847098827,-0.005745526415619651,-0.015384718232597683,-0.007732907795555244,-0.015369360850284619,-0.014655061977384753,-0.024586074127239677,0.02323597156399404,-0.019218051281701953,0.0
2006-03-09,-0.010958207740105586,0.0,0.005084658832448463,-0.015494803434252136,0.024990695652207018,-0.016393527318704915,-0.03291144650028999,-0.007590764943864126,-0.00586240091702428,-0.0006282742863891189,-0.014333843989294048,-0.02605960961633358,0.006666740894182732,0.009684681672572193,0.0,0.0,-0.008293400141150875,-0.018662769452186034,0.006920196742013607,-0.03867398054546212,-0.023240390630099306,0.0172714447372031,-0.026749544141240422,-0.0267117119261,-0.036458198358663374,0.01802587761798735,-0.0031983102157375765,-0.006998984675756326,-0.031164464817842408,-0.007569827582203148,-0.03025099548409993,0.0
2006-03-10,0.02329544911878423,0.0,-0.0022482793171301196,0.050363033374999144,0.0007274657846407795,0.04055542952217572,0.03702653241093157,0.004815848155191427,-0.004309159125836737,0.003927686953373755,0.0037147955131808796,0.036427722140809804,0.003377657245935861,0.014945113466710902,0.0,-0.0021174681578085552,0.006161851177285627,0.03301069056910011,0.013745775817869621,0.03563293218407537,0.03432973978262388,0.0033956245202149127,0.015722573864036082,0.01965979715568067,0.03783769245564539,0.0005996241954604464,0.024899851463392242,0.005638740102295259,0.022942529314776472,0.012288307883211225,0.020560527181067156,0.0
2006-03-13,-0.003331631407887614,0.0,0.019718401358873372,-0.013370118598200587,-0.03381778927208656,0.021534691504563108,0.010501461802300271,0.008739833316331769,-0.0034169662618321883,0.012206712159690492,0.0015748183500954305,0.007153973562542104,0.01313435056136214,-0.005933641477742002,0.0,0.021646858477764264,0.007437063757470552,0.0017371052849810553,-0.013559391462597992,0.009988172500764891,0.028591370575709263,0.03214868023907713,0.007798999388924255,0.010481393428520613,-0.036458198358663374,-0.0065200654773539535,-0.0011268277515991132,0.0053442986213991794,0.0016181728956299324,-0.017162129003349902,0.010072934909075348,0.0
